gen,generator_name,n,cap
1,GN_2,2067,
2,GN_7,7625,
3,GN_9,215,
4,GN_18,9589,
5,GN_20,822,
6,GN_22,8784,
7,GN_25,1622,
8,GN_27,2833,
9,GN_28,2835,
10,GN_29,3344,
11,GN_31,281,36.0
12,GN_35,287,189.87124464
13,GN_36,286,
14,GN_37,283,76.7263428
15,GN_38,282,90.12875536
16,GN_41,4558,
17,GN_42,4557,
18,GN_47,2863,
19,GN_49,2863,
20,GN_50,2864,
21,GN_52,1307,
22,GN_57,3586,
23,GN_60,4580,
24,GN_65,4581,
25,GN_72,4542,
26,GN_73,7867,
27,GN_74,6250,
28,GN_75,6251,
29,GN_83,7242,
30,GN_85,9585,
31,GN_87,9586,
32,GN_90,318,40.0
33,GN_94,41,61.4
34,GN_98,8574,
35,GN_100,4544,
36,GN_111,8662,
37,GN_124,1177,
38,GN_125,7468,
39,GN_128,1564,
40,GN_130,7254,
41,GN_133,2036,
42,GN_134,9673,
43,GN_135,8771,
44,GN_137,4853,
45,GN_139,9480,
46,GN_144,9298,
47,GN_145,3861,
48,GN_149,4818,
49,GN_151,6723,
50,GN_163,5780,178.0
51,GN_171,2610,
52,GN_175,2616,48.0
53,GN_188,3877,
54,GN_190,3878,
55,GN_194,811,135.84375
56,GN_195,813,213.46875
57,GN_197,178,51.0
58,GN_198,179,51.0
59,GN_199,180,48.4
60,GN_206,3270,
61,GN_209,2433,
62,GN_213,3164,
63,GN_221,533,197.302857024
64,GN_224,473,28.375
65,GN_229,8924,292.0
66,GN_230,8926,312.952606587
67,GN_235,2118,
68,GN_236,2143,560.0
69,GN_242,77,43.0
70,GN_243,78,43.0
71,GN_246,958,49.866666729
72,GN_252,3608,
73,GN_255,3610,
74,GN_259,2916,
75,GN_261,2922,
76,GN_264,3281,9.4
77,GN_266,8351,
78,GN_270,8001,
79,GN_274,1245,121.0625
80,GN_275,1247,30.0
81,GN_277,1246,121.0625
82,GN_282,627,205.0
83,GN_284,629,209.25816037
84,GN_285,1686,708.0
85,GN_290,8537,
86,GN_291,8537,
87,GN_293,8178,
88,GN_302,3450,
89,GN_304,7396,
90,GN_308,499,314.0
91,GN_309,4759,
92,GN_312,4525,
93,GN_316,1072,44.0
94,GN_318,1761,
95,GN_319,4760,
96,GN_321,4751,
97,GN_324,9473,
98,GN_325,8141,655.0
99,GN_326,9560,
100,GN_327,8907,
101,GN_331,4660,
102,GN_343,6344,1227.0
103,GN_344,6343,1208.0
104,GN_347,7121,
105,GN_353,3441,
106,GN_357,1757,
107,GN_378,4974,
108,GN_386,439,208.479747231
109,GN_387,445,189.506750664
110,GN_389,443,189.506750664
111,GN_402,9666,
112,GN_412,619,37.76119402
113,GN_423,9649,
114,GN_429,1263,0.0
115,GN_430,1266,
116,GN_434,1259,26.0
117,GN_437,1265,0.0
118,GN_451,8055,
119,GN_452,8055,
120,GN_453,8055,
121,GN_455,2058,
122,GN_456,2082,
123,GN_462,8770,
124,GN_464,4595,
125,GN_466,7818,
126,GN_468,8809,
127,GN_476,8905,
128,GN_480,5184,235.0
129,GN_489,562,2.925
130,GN_490,562,3.15
131,GN_492,562,3.625
132,GN_497,563,9.775
133,GN_499,562,2.95
134,GN_500,2023,
135,GN_501,8174,
136,GN_505,8243,
137,GN_507,8901,
138,GN_513,4634,
139,GN_516,3496,197.093023085
140,GN_517,2799,
141,GN_518,2799,
142,GN_522,6223,
143,GN_523,7387,
144,GN_525,7268,71.5
145,GN_526,7269,71.5
146,GN_528,7129,
147,GN_532,9469,
148,GN_535,632,0.0
149,GN_542,634,26.50306752
150,GN_547,630,0.0
151,GN_553,2638,299.0
152,GN_555,2181,431.1
153,GN_563,4395,
154,GN_564,5136,183.872164998
155,GN_575,9632,
156,GN_578,3740,156.4238370882
157,GN_582,4437,
158,GN_583,7082,
159,GN_585,3589,
160,GN_589,1721,68.0
161,GN_593,1726,67.0
162,GN_598,2078,
163,GN_604,9640,
164,GN_609,9380,
165,GN_614,2116,
166,GN_618,8415,
167,GN_619,9592,
168,GN_636,1786,206.814946779
169,GN_637,1783,211.545233008
170,GN_640,621,
171,GN_642,3289,
172,GN_653,339,
173,GN_658,1904,
174,GN_664,7879,
175,GN_666,7819,
176,GN_668,7820,
177,GN_669,7822,
178,GN_677,5363,435.0
179,GN_678,1159,
180,GN_679,1160,
181,GN_682,2824,
182,GN_686,3882,
183,GN_691,7662,
184,GN_692,7662,
185,GN_694,9369,
186,GN_697,9367,
187,GN_710,3100,
188,GN_722,6600,165.664786455
189,GN_724,6601,291.67042709
190,GN_728,2861,
191,GN_729,1747,50.6
192,GN_732,1750,51.0
193,GN_733,1751,51.0
194,GN_742,154,
195,GN_746,6755,
196,GN_763,7324,
197,GN_765,7340,
198,GN_766,7425,
199,GN_770,9052,338.87
200,GN_771,9047,161.685
201,GN_775,8521,
202,GN_788,5009,831.0
203,GN_789,5010,857.0
204,GN_796,7844,
205,GN_798,2729,
206,GN_800,8472,156.065573688
207,GN_803,4389,
208,GN_806,9383,
209,GN_808,5890,523.0
210,GN_810,1125,43.0
211,GN_816,8747,
212,GN_819,3886,
213,GN_835,8884,
214,GN_836,9214,184.58598744
215,GN_838,9213,186.0
216,GN_843,8563,
217,GN_845,8583,
218,GN_848,1945,
219,GN_849,315,
220,GN_850,8318,
221,GN_852,8778,
222,GN_857,2087,
223,GN_872,2841,
224,GN_873,2843,
225,GN_875,2837,
226,GN_877,2838,
227,GN_878,8573,
228,GN_881,7603,
229,GN_884,8799,
230,GN_885,6275,122.0
231,GN_890,5815,266.5
232,GN_892,5818,262.0
233,GN_893,5817,258.25
234,GN_898,6833,
235,GN_899,8012,
236,GN_900,8726,
237,GN_907,9355,
238,GN_913,1935,
239,GN_914,6300,
240,GN_922,8635,
241,GN_923,8635,
242,GN_925,9477,
243,GN_934,9657,
244,GN_935,8985,
245,GN_937,4746,
246,GN_939,334,
247,GN_940,9181,
248,GN_941,174,
249,GN_943,175,
250,GN_948,1138,
251,GN_957,899,7.0
252,GN_966,8256,223.916422411
253,GN_967,8255,223.916422411
254,GN_968,8254,243.167155178
255,GN_969,2025,
256,GN_970,4575,
257,GN_971,4576,
258,GN_980,8232,158.488151364
259,GN_981,7404,
260,GN_983,7404,
261,GN_984,8043,
262,GN_986,7831,
263,GN_989,7298,179.0
264,GN_990,7302,167.650580411325
265,GN_991,7297,119.671383630875
266,GN_993,7299,218.306065276945
267,GN_994,7301,147.884253225875
268,GN_997,8878,
269,GN_1002,8995,
270,GN_1003,6384,9.9
271,GN_1004,6384,
272,GN_1005,1174,
273,GN_1006,740,
274,GN_1007,8040,
275,GN_1012,7803,
276,GN_1014,2022,27.0
277,GN_1016,2099,
278,GN_1017,248,
279,GN_1019,8370,
280,GN_1024,4369,212.7247956
281,GN_1026,4371,314.5504088
282,GN_1028,4377,210.13760214
283,GN_1032,220,
284,GN_1037,7530,74.015
285,GN_1038,7527,73.275
286,GN_1040,7529,72.3
287,GN_1044,7257,
288,GN_1046,7259,
289,GN_1048,8296,50.05
290,GN_1050,8298,50.075
291,GN_1054,8267,
292,GN_1058,9359,
293,GN_1059,9360,
294,GN_1060,9377,
295,GN_1063,6189,
296,GN_1069,198,
297,GN_1071,200,
298,GN_1072,202,
299,GN_1073,3913,
300,GN_1076,7194,
301,GN_1081,4670,
302,GN_1082,9684,
303,GN_1084,1091,
304,GN_1086,998,90.0
305,GN_1092,7836,
306,GN_1094,156,50.7
307,GN_1095,157,50.7
308,GN_1098,160,51.0
309,GN_1100,162,51.0
310,GN_1102,7868,
311,GN_1104,735,
312,GN_1106,300,76.655052375
313,GN_1113,1644,176.66666649
314,GN_1116,8358,
315,GN_1118,7502,
316,GN_1120,2946,
317,GN_1122,2945,
318,GN_1123,2946,
319,GN_1126,7318,72.0285594
320,GN_1129,7314,100.9428812
321,GN_1135,7813,
322,GN_1138,140,48.9
323,GN_1139,141,51.0
324,GN_1145,4591,
325,GN_1147,4591,
326,GN_1150,7000,
327,GN_1154,349,40.16393445
328,GN_1159,7115,
329,GN_1163,8604,55.925
330,GN_1165,8606,56.05
331,GN_1167,8029,
332,GN_1169,8029,
333,GN_1170,7706,
334,GN_1171,7707,
335,GN_1175,2279,165.201711129
336,GN_1180,4586,
337,GN_1183,4586,
338,GN_1192,6219,
339,GN_1194,6843,
340,GN_1196,2830,
341,GN_1199,2790,
342,GN_1200,2046,
343,GN_1201,2047,
344,GN_1211,9578,
345,GN_1212,9579,
346,GN_1213,9580,
347,GN_1214,9582,
348,GN_1216,2390,48.0
349,GN_1218,2389,48.0
350,GN_1220,2392,48.0
351,GN_1235,412,29.25
352,GN_1236,4075,170.0
353,GN_1243,7338,
354,GN_1245,7374,
355,GN_1249,7192,
356,GN_1251,6216,
357,GN_1254,8936,38.0
358,GN_1261,1978,25.0
359,GN_1263,2030,
360,GN_1269,511,
361,GN_1271,8795,
362,GN_1272,8796,
363,GN_1277,5646,57.0
364,GN_1280,3522,
365,GN_1282,6907,
366,GN_1287,9352,
367,GN_1290,8154,
368,GN_1291,3874,
369,GN_1293,3875,
370,GN_1297,5427,8.4
371,GN_1307,2102,
372,GN_1308,2102,
373,GN_1312,6726,
374,GN_1316,7439,
375,GN_1317,1708,
376,GN_1320,2926,
377,GN_1321,2926,
378,GN_1326,7227,
379,GN_1330,8991,
380,GN_1331,7760,
381,GN_1340,7874,
382,GN_1341,7087,
383,GN_1342,7089,
384,GN_1343,7186,
385,GN_1344,748,47.5
386,GN_1348,5377,168.494381916
387,GN_1349,5378,107.505618084
388,GN_1358,880,63.5
389,GN_1360,884,63.5
390,GN_1373,885,108.698795164
391,GN_1379,7854,
392,GN_1383,1180,
393,GN_1386,9753,83.6516950225
394,GN_1390,4741,
395,GN_1391,103,47.06
396,GN_1392,113,49.1
397,GN_1393,105,48.3
398,GN_1394,106,51.0
399,GN_1396,108,51.0
400,GN_1397,109,51.0
401,GN_1402,8685,
402,GN_1404,8686,
403,GN_1413,3156,
404,GN_1415,3157,
405,GN_1417,4331,
406,GN_1418,3994,236.0
407,GN_1422,9597,
408,GN_1428,8875,
409,GN_1448,9489,
410,GN_1449,9489,
411,GN_1450,9489,
412,GN_1451,9490,
413,GN_1456,1059,47.0
414,GN_1463,4562,
415,GN_1465,4560,
416,GN_1467,4561,
417,GN_1471,925,13.0
418,GN_1475,919,536.0
419,GN_1477,917,655.0
420,GN_1480,7765,
421,GN_1481,455,
422,GN_1484,4901,247.74999975225
423,GN_1485,1937,
424,GN_1491,9189,
425,GN_1494,8812,
426,GN_1495,1740,
427,GN_1497,4404,328.296217032
428,GN_1498,4405,653.08264518
429,GN_1499,5572,364.265122294535
430,GN_1503,7863,
431,GN_1508,3569,
432,GN_1510,4749,
433,GN_1511,6186,
434,GN_1514,6186,
435,GN_1518,2168,45.0
436,GN_1523,3552,
437,GN_1525,6314,
438,GN_1528,7504,
439,GN_1529,7294,
440,GN_1533,829,
441,GN_1535,8938,
442,GN_1536,7806,
443,GN_1537,2507,17.5
444,GN_1543,2492,17.0
445,GN_1544,2009,18.775
446,GN_1545,9008,
447,GN_1547,3612,
