l,branch_name,from_bus,to_bus,suscept,available
1,Branch_1,6134,6224,143.67816091954023,1
2,Branch_2,5116,6056,2000.0,1
3,Branch_3,6591,6606,2000.0,1
4,Branch_4,5496,5757,51.4668039114771,1
5,Branch_5,5262,6480,127.2264631043257,1
6,Branch_6,5152,6693,89.28571428571429,1
7,Branch_7,9277,9449,2000.0,1
8,Branch_8,3730,3820,67.24949562878278,1
9,Branch_9,3730,3911,72.67441860465117,1
10,Branch_10,3730,3761,129.5336787564767,1
11,Branch_11,4260,5509,2000.0,1
12,Branch_12,2633,2657,28.153153153153152,1
13,Branch_13,4240,5558,1123.5955056179776,1
14,Branch_14,5558,5733,182.4817518248175,1
15,Branch_15,4724,5686,159.4896331738437,1
16,Branch_17,5348,6080,96.43201542912247,1
17,Branch_18,5347,6556,138.69625520110958,1
18,Branch_19,5160,6556,87.71929824561404,1
19,Branch_20,5160,5686,107.29613733905579,1
20,Branch_22,4821,5412,107.75862068965517,1
21,Branch_23,4821,5347,375.9398496240602,1
22,Branch_24,5350,6328,57.93742757821553,1
23,Branch_25,5350,5412,74.96251874062969,1
24,Branch_26,2210,2426,11.723329425556859,1
25,Branch_27,4240,6155,289.8550724637681,1
26,Branch_28,4465,6328,36.205648081100655,1
27,Branch_29,5625,6648,112.73957158962796,1
28,Branch_30,5474,5625,75.24454477050413,1
29,Branch_31,5029,6648,58.75440658049354,1
30,Branch_32,4465,5625,50.53057099545225,1
31,Branch_33,4791,6328,28.951939779965258,1
32,Branch_34,4791,4792,342.4657534246575,1
33,Branch_35,5537,6328,46.403712296983755,1
34,Branch_36,5537,6026,18.96453631708705,1
35,Branch_37,4793,5532,58.9622641509434,1
36,Branch_38,2062,2699,342.4657534246575,1
37,Branch_39,5150,5814,160.0,1
38,Branch_40,4204,6265,256.4102564102564,1
39,Branch_41,5219,5814,649.3506493506494,1
40,Branch_42,5219,5451,1639.344262295082,1
41,Branch_43,4204,5451,156.49452269170578,1
42,Branch_46,4793,5347,96.15384615384616,1
43,Branch_47,1850,2215,117.78563015312132,1
44,Branch_49,5450,6267,97.18172983479106,1
45,Branch_50,5450,5794,826.4462809917355,1
46,Branch_51,5794,5815,793.6507936507936,1
47,Branch_52,4894,5150,150.37593984962405,1
48,Branch_53,4894,5815,1075.268817204301,1
49,Branch_56,4818,6428,157.48031496062993,1
50,Branch_57,5339,6428,1282.051282051282,1
51,Branch_58,5413,6428,268.81720430107526,1
52,Branch_60,5113,5770,78.98894154818325,1
53,Branch_63,5113,5528,115.2073732718894,1
54,Branch_64,5164,5528,346.02076124567475,1
55,Branch_65,5164,6615,134.2281879194631,1
56,Branch_66,5730,6206,166.9449081803005,1
57,Branch_70,5730,5770,200.40080160320642,1
58,Branch_71,5132,5770,165.56291390728478,1
59,Branch_73,4557,5164,50.25125628140704,1
60,Branch_74,4818,6206,126.90355329949239,1
61,Branch_75,4818,6427,157.48031496062993,1
62,Branch_76,5338,6427,1562.5,1
63,Branch_77,2302,2554,76.21951219512195,1
64,Branch_78,5978,6155,283.28611898017,1
65,Branch_79,5978,6224,118.48341232227489,1
66,Branch_80,5600,6349,980.3921568627451,1
67,Branch_85,5386,6349,222.22222222222223,1
68,Branch_87,5226,6349,166.11295681063123,1
69,Branch_93,4541,5386,2000.0,1
70,Branch_94,4438,4541,163.3986928104575,1
71,Branch_95,4438,6223,434.7826086956522,1
72,Branch_97,4818,5226,2000.0,1
73,Branch_98,4556,5082,59.73715651135006,1
74,Branch_99,4556,6351,55.40166204986149,1
75,Branch_100,6180,6223,98.91196834817013,1
76,Branch_101,5832,6180,59.171597633136095,1
77,Branch_102,5832,6111,58.445353594389246,1
78,Branch_103,5161,6351,163.3986928104575,1
79,Branch_104,4556,6111,37.764350453172206,1
80,Branch_105,4309,4316,276.24309392265195,1
81,Branch_106,4308,4316,276.24309392265195,1
82,Branch_107,1916,2699,142.65335235378032,1
83,Branch_110,4389,4864,344.82758620689657,1
84,Branch_112,5150,5954,201.61290322580646,1
85,Branch_113,5112,5925,116.95906432748538,1
86,Branch_114,5163,5518,145.5604075691412,1
87,Branch_115,5112,5529,115.2073732718894,1
88,Branch_116,5163,5529,346.02076124567475,1
89,Branch_117,5925,5954,173.91304347826087,1
90,Branch_118,4557,5518,76.74597083653109,1
91,Branch_119,5163,6614,134.2281879194631,1
92,Branch_120,5954,6464,248.75621890547265,1
93,Branch_121,4437,6223,434.7826086956522,1
94,Branch_122,4437,6350,107.9913606911447,1
95,Branch_123,5599,6350,980.3921568627451,1
96,Branch_124,5227,6350,166.11295681063123,1
97,Branch_125,4818,5227,2000.0,1
98,Branch_130,4389,4864,346.02076124567475,1
99,Branch_131,3855,4088,32.102728731942214,1
100,Branch_132,3855,3924,26.845637583892618,1
101,Branch_133,4818,5731,70.77140835102618,1
102,Branch_134,5731,5771,200.40080160320642,1
103,Branch_135,5771,5926,80.84074373484236,1
104,Branch_136,5150,5955,201.61290322580646,1
105,Branch_137,5926,5955,177.3049645390071,1
106,Branch_138,5131,5771,165.56291390728478,1
107,Branch_139,5955,6465,248.75621890547265,1
108,Branch_140,1916,2453,90.66183136899366,1
109,Branch_141,4864,6224,574.7126436781609,1
110,Branch_142,5268,5351,188.32391713747646,1
111,Branch_143,5726,6047,68.87052341597796,1
112,Branch_144,5134,6047,51.84033177812338,1
113,Branch_145,4472,5726,65.7030223390276,1
114,Branch_146,4472,5268,134.40860215053763,1
115,Branch_147,2273,2524,75.52870090634441,1
116,Branch_148,4864,6224,571.4285714285714,1
117,Branch_149,2555,2672,73.31378299120234,1
118,Branch_150,4127,4357,68.1663258350375,1
119,Branch_151,5491,5797,148.5884101040119,1
120,Branch_152,4272,5351,52.43838489774515,1
121,Branch_153,4340,5491,85.98452278589853,1
122,Branch_154,4272,4340,138.50415512465375,1
123,Branch_155,3873,4168,29.585798816568047,1
124,Branch_156,5352,6036,139.08205841446454,1
125,Branch_157,5351,6087,66.09385327164574,1
126,Branch_158,4283,6087,202.83975659229208,1
127,Branch_159,4272,6087,253.80710659898477,1
128,Branch_160,4281,4416,2000.0,1
129,Branch_161,4283,4416,2000.0,1
130,Branch_162,2756,3465,212.7659574468085,1
131,Branch_163,5021,5117,209.20502092050208,1
132,Branch_164,5021,5351,58.37711617046118,1
133,Branch_165,5021,6623,571.4285714285714,1
134,Branch_166,5021,6138,71.02272727272727,1
135,Branch_167,3123,3506,24.81389578163772,1
136,Branch_168,9162,9395,63.45177664974619,1
137,Branch_169,9162,9241,63.73486297004462,1
138,Branch_170,9162,9309,21.734405564007826,1
139,Branch_171,9450,9480,258.3979328165375,1
140,Branch_172,9309,9385,123.60939431396787,1
141,Branch_173,9385,9450,2000.0,1
142,Branch_174,9480,9481,31.12356053532524,1
143,Branch_175,9330,9480,27.151778441487917,1
144,Branch_176,9151,9481,2000.0,1
145,Branch_177,9151,9664,61.61429451632779,1
146,Branch_178,1835,2319,81.03727714748784,1
147,Branch_179,4542,6266,104.9317943336831,1
148,Branch_180,5011,5288,1538.4615384615386,1
149,Branch_181,5011,5940,149.7005988023952,1
150,Branch_182,5940,6264,1960.7843137254902,1
151,Branch_183,4239,6264,353.35689045936397,1
152,Branch_184,4542,5288,751.8796992481203,1
153,Branch_185,4863,6264,2000.0,1
154,Branch_186,2338,2453,21.408691928923144,1
155,Branch_187,4239,6263,353.35689045936397,1
156,Branch_188,6025,6680,117.9245283018868,1
157,Branch_189,5012,5357,124.06947890818859,1
158,Branch_190,6269,6680,119.47431302270012,1
159,Branch_191,5287,6680,621.1180124223603,1
160,Branch_192,5939,6263,199.20318725099602,1
161,Branch_193,5357,6137,126.26262626262626,1
162,Branch_194,5939,6137,1754.3859649122808,1
163,Branch_195,5012,5287,1538.4615384615386,1
164,Branch_196,4862,6263,2000.0,1
165,Branch_198,1795,3028,15.299877600979192,1
166,Branch_200,4239,5557,116.95906432748538,1
167,Branch_201,5557,5709,109.40919037199124,1
168,Branch_203,1893,2593,20.837674515524068,1
169,Branch_204,3647,3945,19.04036557501904,1
170,Branch_205,3836,4080,34.73428273706148,1
171,Branch_206,3945,4080,31.201248049921997,1
172,Branch_207,1824,2593,46.2962962962963,1
173,Branch_210,4078,4129,97.46588693957115,1
174,Branch_212,3945,3983,39.666798889329634,1
175,Branch_213,3983,4078,70.52186177715092,1
176,Branch_215,4063,4177,64.06149903907752,1
177,Branch_216,3725,4063,126.26262626262626,1
178,Branch_217,3870,4063,45.20795660036166,1
179,Branch_218,4081,4177,73.96449704142012,1
180,Branch_219,3870,4075,45.20795660036166,1
181,Branch_220,3945,4081,35.4735721887194,1
182,Branch_223,1984,2005,59.701492537313435,1
