l,branch_name,from_bus,to_bus,suscept,available
1,Branch_1,4325,4415,143.67816091954023,1
2,Branch_2,3295,4246,2000.0,1
3,Branch_3,3030,3044,2000.0,1
4,Branch_4,3683,3947,51.4668039114771,1
5,Branch_5,2919,3442,127.2264631043257,1
6,Branch_6,3133,3332,89.28571428571429,1
7,Branch_7,8825,8994,2000.0,1
8,Branch_8,5325,5415,67.24949562878278,1
9,Branch_9,5325,5505,72.67441860465117,1
10,Branch_10,5325,5357,129.5336787564767,1
11,Branch_11,3696,4629,2000.0,1
12,Branch_12,1978,2002,28.153153153153152,1
13,Branch_13,3745,4610,1123.5955056179776,1
14,Branch_14,3745,3923,182.4817518248175,1
15,Branch_15,2782,3872,159.4896331738437,1
16,Branch_16,3532,3601,77.22007722007721,1
17,Branch_17,3532,4271,96.43201542912247,1
18,Branch_18,2997,3532,138.69625520110958,1
19,Branch_19,2997,3340,87.71929824561404,1
20,Branch_20,3340,3872,107.29613733905579,1
21,Branch_24,3535,4522,57.93742757821553,1
22,Branch_25,3535,3601,74.96251874062969,1
23,Branch_26,1777,2459,11.723329425556859,1
24,Branch_27,4346,4610,289.8550724637681,1
25,Branch_28,2683,4522,36.205648081100655,1
26,Branch_29,3089,3815,112.73957158962796,1
27,Branch_30,3662,3815,75.24454477050413,1
28,Branch_31,3089,3209,58.75440658049354,1
29,Branch_32,2683,3815,50.53057099545225,1
30,Branch_33,2811,4522,28.951939779965258,1
31,Branch_35,3726,4522,46.403712296983755,1
32,Branch_36,3726,4217,18.96453631708705,1
33,Branch_38,2046,2350,342.4657534246575,1
34,Branch_39,3330,4004,160.0,1
35,Branch_40,4457,4576,256.4102564102564,1
36,Branch_41,3398,4004,649.3506493506494,1
37,Branch_42,3398,3641,1639.344262295082,1
38,Branch_43,3641,4576,156.49452269170578,1
39,Branch_47,2147,2464,117.78563015312132,1
40,Branch_48,3330,4005,150.6024096385542,1
41,Branch_49,3640,4459,97.18172983479106,1
42,Branch_50,3640,3984,826.4462809917355,1
43,Branch_51,3984,4005,793.6507936507936,1
44,Branch_56,3524,5044,112.61261261261261,1
45,Branch_58,3524,3603,222.22222222222223,1
46,Branch_60,3292,3960,78.98894154818325,1
47,Branch_63,3292,3718,115.2073732718894,1
48,Branch_64,3344,3718,346.02076124567475,1
49,Branch_65,3054,3344,134.2281879194631,1
50,Branch_66,3920,4399,166.9449081803005,1
51,Branch_70,3920,3960,200.40080160320642,1
52,Branch_71,3311,3960,165.56291390728478,1
53,Branch_73,2718,3344,50.25125628140704,1
54,Branch_74,4399,5044,126.90355329949239,1
55,Branch_75,3523,5044,138.50415512465375,1
56,Branch_77,1901,2551,76.21951219512195,1
57,Branch_78,4170,4346,283.28611898017,1
58,Branch_79,4170,4415,118.48341232227489,1
59,Branch_80,3789,4544,980.3921568627451,1
60,Branch_85,3574,4544,222.22222222222223,1
61,Branch_87,3406,4544,166.11295681063123,1
62,Branch_93,2709,3574,2000.0,1
63,Branch_94,2709,4769,163.3986928104575,1
64,Branch_95,4414,4769,434.7826086956522,1
65,Branch_97,3406,5044,2000.0,1
66,Branch_98,3261,4863,59.73715651135006,1
67,Branch_99,4546,4863,55.40166204986149,1
68,Branch_100,4371,4414,98.91196834817013,1
69,Branch_101,4022,4371,59.171597633136095,1
70,Branch_102,4022,4303,58.445353594389246,1
71,Branch_103,3341,4546,163.3986928104575,1
72,Branch_104,4303,4863,37.764350453172206,1
73,Branch_105,4680,4687,276.24309392265195,1
74,Branch_106,4679,4687,276.24309392265195,1
75,Branch_107,2046,2205,147.27540500736376,1
76,Branch_108,3085,4729,362.3188405797101,1
77,Branch_109,3085,4415,578.0346820809249,1
78,Branch_112,3330,4149,201.61290322580646,1
79,Branch_113,3291,4119,116.95906432748538,1
