l,branch_name,from_bus,to_bus,suscept,available
1,Branch_1,5775,5873,143.67816091954023,1
2,Branch_2,5694,6838,2000.0,1
3,Branch_3,6569,6584,2000.0,1
4,Branch_4,5098,5376,51.4668039114771,1
5,Branch_5,6457,6992,127.2264631043257,1
6,Branch_6,6676,6875,89.28571428571429,1
7,Branch_7,9567,10151,2000.0,1
8,Branch_8,3842,4261,67.24949562878278,1
9,Branch_9,3910,4261,72.67441860465117,1
10,Branch_10,4261,4290,129.5336787564767,1
11,Branch_11,4489,5112,2000.0,1
12,Branch_12,2667,2695,28.153153153153152,1
13,Branch_13,4463,5164,1123.5955056179776,1
14,Branch_14,5164,5354,182.4817518248175,1
15,Branch_15,4809,5303,159.4896331738437,1
16,Branch_18,6534,7076,138.69625520110958,1
17,Branch_19,6534,6883,87.71929824561404,1
18,Branch_20,5303,6883,107.29613733905579,1
19,Branch_22,5017,6291,107.75862068965517,1
20,Branch_23,6291,7076,375.9398496240602,1
21,Branch_24,5985,7078,57.93742757821553,1
22,Branch_25,5017,7078,74.96251874062969,1
23,Branch_26,2214,2443,11.723329425556859,1
24,Branch_27,4463,5800,289.8550724637681,1
25,Branch_28,4639,5985,36.205648081100655,1
26,Branch_29,5239,6631,112.73957158962796,1
27,Branch_30,5077,5239,75.24454477050413,1
28,Branch_31,6631,6751,58.75440658049354,1
29,Branch_32,4639,5239,50.53057099545225,1
30,Branch_33,4847,5985,28.951939779965258,1
31,Branch_34,4847,4848,342.4657534246575,1
32,Branch_35,5140,5985,46.403712296983755,1
33,Branch_36,5140,5664,18.96453631708705,1
34,Branch_37,4848,5136,58.9622641509434,1
35,Branch_38,2018,2741,342.4657534246575,1
36,Branch_39,5438,6873,160.0,1
37,Branch_40,4426,5918,256.4102564102564,1
38,Branch_41,5438,6949,649.3506493506494,1
39,Branch_42,5056,6949,1639.344262295082,1
40,Branch_43,4426,5056,156.49452269170578,1
41,Branch_46,4848,7076,96.15384615384616,1
42,Branch_47,2219,2846,117.78563015312132,1
43,Branch_49,5055,5920,97.18172983479106,1
44,Branch_50,5055,5417,826.4462809917355,1
45,Branch_51,5417,5439,793.6507936507936,1
46,Branch_52,6318,6873,150.37593984962405,1
47,Branch_53,5439,6318,1075.268817204301,1
48,Branch_56,6288,6297,157.48031496062993,1
49,Branch_57,6297,7068,1282.051282051282,1
50,Branch_58,5018,6297,268.81720430107526,1
51,Branch_60,5391,6835,78.98894154818325,1
52,Branch_63,5133,6835,115.2073732718894,1
53,Branch_64,5133,6887,346.02076124567475,1
54,Branch_65,6595,6887,134.2281879194631,1
55,Branch_66,5351,5857,166.9449081803005,1
56,Branch_70,5351,5391,200.40080160320642,1
57,Branch_71,5391,6855,165.56291390728478,1
58,Branch_73,4693,6887,50.25125628140704,1
59,Branch_74,5857,6288,126.90355329949239,1
60,Branch_75,6288,6296,157.48031496062993,1
61,Branch_76,6296,7067,1562.5,1
62,Branch_77,2314,2582,76.21951219512195,1
63,Branch_78,5612,5800,283.28611898017,1
64,Branch_80,5214,6007,980.3921568627451,1
65,Branch_85,4990,6007,222.22222222222223,1
66,Branch_87,6007,6956,166.11295681063123,1
67,Branch_93,4682,4990,2000.0,1
68,Branch_94,4682,6117,163.3986928104575,1
69,Branch_95,5872,6117,434.7826086956522,1
70,Branch_97,6288,6956,2000.0,1
71,Branch_98,4692,6803,59.73715651135006,1
72,Branch_99,4692,6009,55.40166204986149,1
73,Branch_100,5829,5872,98.91196834817013,1
74,Branch_101,5456,5829,59.171597633136095,1
75,Branch_102,5456,5750,58.445353594389246,1
76,Branch_103,6009,6884,163.3986928104575,1
77,Branch_104,4692,5750,37.764350453172206,1
78,Branch_105,6051,6058,276.24309392265195,1
79,Branch_106,6050,6058,276.24309392265195,1
80,Branch_107,1866,2741,142.65335235378032,1
81,Branch_110,4910,6076,344.82758620689657,1
82,Branch_112,5589,6873,201.61290322580646,1
83,Branch_113,5560,6834,116.95906432748538,1
84,Branch_114,5121,6886,145.5604075691412,1
85,Branch_115,5132,6834,115.2073732718894,1
86,Branch_116,5132,6886,346.02076124567475,1
87,Branch_117,5560,5589,173.91304347826087,1
88,Branch_118,4693,5121,76.74597083653109,1
89,Branch_119,6594,6886,134.2281879194631,1
90,Branch_120,5589,6441,248.75621890547265,1
91,Branch_121,5872,6116,434.7826086956522,1
92,Branch_122,6008,6116,107.9913606911447,1
93,Branch_123,5213,6008,980.3921568627451,1
94,Branch_124,6008,6957,166.11295681063123,1
95,Branch_125,6288,6957,2000.0,1
96,Branch_130,4910,6076,346.02076124567475,1
97,Branch_131,3879,4054,32.102728731942214,1
98,Branch_133,5352,6288,70.77140835102618,1
99,Branch_134,5352,5392,200.40080160320642,1
100,Branch_135,5392,5561,80.84074373484236,1
101,Branch_136,5590,6873,201.61290322580646,1
